,STATE/UT,CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
114,ANDHRA PRADESH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,3544,3799,4128,3817,3595,4534,4406,4730,5147,4634,4849,4816
115,ARUNACHAL PRADESH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,78,68,43,61,67,63,72,72,58,84,51,67
116,ASSAM,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,850,984,878,883,899,1290,789,1272,1342,1400,1193,1840
117,BIHAR,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,562,621,688,704,451,530,853,999,726,534,790,118
118,CHHATTISGARH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1763,1483,1481,1661,1450,1598,1549,1621,1598,1706,1654,1601
119,GOA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,17,18,19,23,30,18,20,32,37,36,29,49
120,GUJARAT,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,756,750,722,757,802,736,822,828,727,668,685,745
121,HARYANA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,478,454,344,403,380,486,417,435,451,476,474,525
122,HIMACHAL PRADESH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,310,326,250,284,286,275,322,295,318,350,331,250
123,JAMMU & KASHMIR,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,622,785,875,990,830,960,986,935,972,1038,1194,1322
124,JHARKHAND,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,297,411,424,411,293,414,342,271,276,245,317,284
125,KARNATAKA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1665,1648,1585,1435,1585,1683,1828,1954,2186,2544,2608,2978
126,KERALA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1942,2123,1947,2260,2339,2543,2624,2745,2540,2936,3756,3735
127,MADHYA PRADESH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,7063,7118,6848,6690,6426,6243,6772,6445,6307,6646,6665,6655
128,MAHARASHTRA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2823,2686,2661,2831,3228,3479,3306,3619,3196,3661,3794,3935
129,MANIPUR,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,21,58,44,30,25,42,70,57,39,31,38,49
130,MEGHALAYA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,25,23,13,34,44,57,45,54,72,48,74,43
131,MIZORAM,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,52,73,88,66,49,51,66,78,61,75,72,85
132,NAGALAND,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,6,1,4,3,7,3,8,15,11,13,9,16
133,ODISHA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1655,1605,1669,1811,2238,2415,2775,2782,2697,2905,3207,4187
134,PUNJAB,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,372,341,346,261,308,314,427,388,319,349,282,340
135,RAJASTHAN,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2878,2730,2715,2825,2503,2582,2477,2520,2485,2339,2447,2352
136,SIKKIM,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,0,17,25,40,38,14,13,19,10,11,24,19
137,TAMIL NADU,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1773,1877,2022,1861,1764,1179,1540,1705,1242,1405,1467,1494
138,TRIPURA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,58,128,127,134,161,207,244,346,384,376,294,314
139,UTTAR PRADESH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2870,2145,1098,1900,1835,2096,2522,2955,2782,2793,3455,3247
140,UTTARAKHAND,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,103,145,136,143,100,153,146,120,119,125,116,139
141,WEST BENGAL,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,954,964,1186,1566,1572,1837,2281,2396,1942,2465,2363,3345
143,A & N ISLANDS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,19,17,9,6,11,14,21,24,30,31,15,17
144,CHANDIGARH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,24,36,11,20,31,20,32,19,26,29,21,45
145,D & N HAVELI,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,7,3,4,5,5,5,0,4,2,11,2,2
146,DAMAN & DIU,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,0,0,3,1,1,2,0,2,4,2,0,0
147,DELHI,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,502,446,489,601,762,718,868,611,552,601,657,727
148,LAKSHADWEEP,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,0,1,1,0,0,0,2,0,0,0,0,1
149,PUDUCHERRY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,35,59,56,50,60,56,89,65,53,46,35,9
