,STATE/UT,CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
380,ANDHRA PRADESH,COMMISSION OF SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0
381,ARUNACHAL PRADESH,COMMISSION OF SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0
382,ASSAM,COMMISSION OF SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0
383,BIHAR,COMMISSION OF SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0
384,CHHATTISGARH,COMMISSION OF SATI PREVENTION ACT,0,0,0,0,0,0,0,1,0,0,0,0
385,GOA,COMMISSION OF SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0
386,GUJARAT,COMMISSION OF SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0
387,HARYANA,COMMISSION OF SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0
388,HIMACHAL PRADESH,COMMISSION OF SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0
389,JAMMU & KASHMIR,COMMISSION OF SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,1,0
390,JHARKHAND,COMMISSION OF SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0
391,KARNATAKA,COMMISSION OF SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0
392,KERALA,COMMISSION OF SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0
393,MADHYA PRADESH,COMMISSION OF SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0
394,MAHARASHTRA,COMMISSION OF SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0
395,MANIPUR,COMMISSION OF SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0
396,MEGHALAYA,COMMISSION OF SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0
397,MIZORAM,COMMISSION OF SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0
398,NAGALAND,COMMISSION OF SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0
399,ODISHA,COMMISSION OF SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0
400,PUNJAB,COMMISSION OF SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0
401,RAJASTHAN,COMMISSION OF SATI PREVENTION ACT,0,0,0,0,1,0,0,0,0,0,0,0
402,SIKKIM,COMMISSION OF SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0
403,TAMIL NADU,COMMISSION OF SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0
404,TRIPURA,COMMISSION OF SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0
405,UTTAR PRADESH,COMMISSION OF SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0
406,UTTARAKHAND,COMMISSION OF SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0
407,WEST BENGAL,COMMISSION OF SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0
409,A & N ISLANDS,COMMISSION OF SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0
410,CHANDIGARH,COMMISSION OF SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0
411,D & N HAVELI,COMMISSION OF SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0
412,DAMAN & DIU,COMMISSION OF SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0
413,DELHI,COMMISSION OF SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0
414,LAKSHADWEEP,COMMISSION OF SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0
415,PUDUCHERRY,COMMISSION OF SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0
