,STATE/UT,CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
76,ANDHRA PRADESH,DOWRY DEATHS,420,449,466,512,443,519,613,556,546,588,599,504
77,ARUNACHAL PRADESH,DOWRY DEATHS,0,0,0,0,0,1,0,0,0,0,0,1
78,ASSAM,DOWRY DEATHS,59,70,60,74,99,105,100,103,170,175,121,140
79,BIHAR,DOWRY DEATHS,859,927,909,1029,1014,1188,1172,1210,1295,1257,1413,1275
80,CHHATTISGARH,DOWRY DEATHS,70,85,79,71,100,103,100,106,128,115,104,81
81,GOA,DOWRY DEATHS,2,2,2,2,2,0,2,2,3,1,1,0
82,GUJARAT,DOWRY DEATHS,67,62,54,58,48,50,42,27,24,19,30,21
83,HARYANA,DOWRY DEATHS,285,256,222,251,212,255,269,302,281,284,255,258
84,HIMACHAL PRADESH,DOWRY DEATHS,10,6,6,8,2,3,8,3,1,2,4,2
85,JAMMU & KASHMIR,DOWRY DEATHS,13,18,10,9,5,10,9,21,12,9,11,8
86,JHARKHAND,DOWRY DEATHS,217,275,262,275,257,281,303,266,295,276,282,302
87,KARNATAKA,DOWRY DEATHS,220,233,194,259,261,244,251,259,264,248,267,218
88,KERALA,DOWRY DEATHS,27,17,33,31,21,25,27,31,20,22,15,32
89,MADHYA PRADESH,DOWRY DEATHS,609,674,648,751,739,764,742,805,858,892,811,743
90,MAHARASHTRA,DOWRY DEATHS,308,303,368,314,341,387,436,390,341,393,339,329
91,MANIPUR,DOWRY DEATHS,0,0,0,0,0,0,0,1,0,0,1,0
92,MEGHALAYA,DOWRY DEATHS,0,0,0,2,1,6,2,2,0,0,1,1
93,MIZORAM,DOWRY DEATHS,0,0,0,0,4,0,0,0,0,0,0,0
94,NAGALAND,DOWRY DEATHS,0,0,0,0,0,0,0,0,0,0,0,0
95,ODISHA,DOWRY DEATHS,294,248,279,319,334,457,461,401,384,388,465,525
96,PUNJAB,DOWRY DEATHS,159,166,110,113,99,130,133,128,126,121,143,118
97,RAJASTHAN,DOWRY DEATHS,376,399,389,379,361,394,439,439,436,462,514,478
98,SIKKIM,DOWRY DEATHS,0,0,0,0,0,0,0,0,0,1,0,1
99,TAMIL NADU,DOWRY DEATHS,191,243,220,225,215,187,208,207,194,165,152,110
100,TRIPURA,DOWRY DEATHS,16,16,20,20,34,35,36,16,29,25,30,37
101,UTTAR PRADESH,DOWRY DEATHS,2211,1893,1322,1708,1564,1798,2076,2237,2232,2217,2322,2244
102,UTTARAKHAND,DOWRY DEATHS,56,66,93,82,63,80,70,73,94,75,83,71
103,WEST BENGAL,DOWRY DEATHS,265,273,329,396,446,445,451,451,506,507,510,593
105,A & N ISLANDS,DOWRY DEATHS,0,0,0,0,0,0,1,2,1,0,0,2
106,CHANDIGARH,DOWRY DEATHS,3,1,1,6,3,10,1,3,2,5,2,5
107,D & N HAVELI,DOWRY DEATHS,0,0,0,0,0,1,0,0,0,0,0,0
108,DAMAN & DIU,DOWRY DEATHS,0,0,1,0,1,0,1,0,0,0,0,0
109,DELHI,DOWRY DEATHS,113,135,130,126,114,137,138,129,141,143,142,134
110,LAKSHADWEEP,DOWRY DEATHS,0,0,0,0,0,0,0,0,0,0,0,0
111,PUDUCHERRY,DOWRY DEATHS,1,5,1,6,4,3,2,2,0,1,1,0
