,STATE/UT,CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
304,ANDHRA PRADESH,DOWRY PROHIBITION ACT,551,460,195,339,306,474,817,1069,1362,1186,1899,2511
305,ARUNACHAL PRADESH,DOWRY PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0
306,ASSAM,DOWRY PROHIBITION ACT,179,64,92,36,82,31,16,11,40,37,19,41
307,BIHAR,DOWRY PROHIBITION ACT,835,779,706,1220,789,909,978,1288,1252,997,1393,1353
308,CHHATTISGARH,DOWRY PROHIBITION ACT,13,12,16,7,5,9,14,14,16,6,18,14
309,GOA,DOWRY PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0
310,GUJARAT,DOWRY PROHIBITION ACT,0,1,0,0,0,1,0,0,2,7,28,0
311,HARYANA,DOWRY PROHIBITION ACT,0,3,3,6,7,7,8,13,6,11,9,9
312,HIMACHAL PRADESH,DOWRY PROHIBITION ACT,9,5,7,5,1,2,4,2,4,0,0,0
313,JAMMU & KASHMIR,DOWRY PROHIBITION ACT,3,0,4,2,0,2,1,2,3,2,3,3
314,JHARKHAND,DOWRY PROHIBITION ACT,375,199,261,199,313,345,453,435,414,404,402,1066
315,KARNATAKA,DOWRY PROHIBITION ACT,361,383,341,337,361,476,517,628,904,1077,1210,1328
316,KERALA,DOWRY PROHIBITION ACT,6,3,4,2,4,5,9,5,8,7,5,3
317,MADHYA PRADESH,DOWRY PROHIBITION ACT,30,24,29,40,36,32,52,32,91,67,66,101
318,MAHARASHTRA,DOWRY PROHIBITION ACT,27,23,29,21,23,55,45,49,50,40,44,33
319,MANIPUR,DOWRY PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0
320,MEGHALAYA,DOWRY PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0
321,MIZORAM,DOWRY PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0
322,NAGALAND,DOWRY PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0
323,ODISHA,DOWRY PROHIBITION ACT,436,424,412,532,446,1394,1460,1316,945,942,1062,1487
324,PUNJAB,DOWRY PROHIBITION ACT,0,0,3,7,5,7,6,4,9,1,3,1
325,RAJASTHAN,DOWRY PROHIBITION ACT,4,6,3,13,1,3,2,3,3,3,4,39
326,SIKKIM,DOWRY PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0
327,TAMIL NADU,DOWRY PROHIBITION ACT,33,125,175,294,193,81,368,262,207,199,195,277
328,TRIPURA,DOWRY PROHIBITION ACT,0,0,0,0,0,0,0,1,2,1,0,0
329,UTTAR PRADESH,DOWRY PROHIBITION ACT,340,288,367,477,586,628,803,324,274,115,124,505
330,UTTARAKHAND,DOWRY PROHIBITION ACT,5,1,1,2,2,1,2,0,1,1,3,0
331,WEST BENGAL,DOWRY PROHIBITION ACT,6,6,17,36,18,25,40,68,46,53,116,241
333,A & N ISLANDS,DOWRY PROHIBITION ACT,0,0,0,0,0,0,1,0,0,0,0,0
334,CHANDIGARH,DOWRY PROHIBITION ACT,0,0,0,0,0,0,0,1,0,0,1,0
335,D & N HAVELI,DOWRY PROHIBITION ACT,0,0,0,0,0,0,0,0,1,0,0,0
336,DAMAN & DIU,DOWRY PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0
337,DELHI,DOWRY PROHIBITION ACT,7,7,14,11,9,15,16,19,6,15,7,15
338,LAKSHADWEEP,DOWRY PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0
339,PUDUCHERRY,DOWRY PROHIBITION ACT,2,3,5,6,17,2,11,9,4,11,8,11
