,STATE/UT,CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
266,ANDHRA PRADESH,IMMORAL TRAFFIC (P) ACT,1332,871,349,405,681,657,612,357,279,548,497,472
267,ARUNACHAL PRADESH,IMMORAL TRAFFIC (P) ACT,0,0,0,0,0,0,0,0,0,0,0,1
268,ASSAM,IMMORAL TRAFFIC (P) ACT,6,24,22,28,25,29,21,27,37,25,21,30
269,BIHAR,IMMORAL TRAFFIC (P) ACT,29,10,9,24,28,13,27,39,40,24,23,35
270,CHHATTISGARH,IMMORAL TRAFFIC (P) ACT,12,12,7,9,6,13,14,4,9,12,15,5
271,GOA,IMMORAL TRAFFIC (P) ACT,28,25,25,28,38,26,10,14,23,16,18,40
272,GUJARAT,IMMORAL TRAFFIC (P) ACT,61,57,74,33,59,78,44,52,41,46,46,44
273,HARYANA,IMMORAL TRAFFIC (P) ACT,21,32,57,62,85,85,88,77,90,57,57,69
274,HIMACHAL PRADESH,IMMORAL TRAFFIC (P) ACT,1,2,5,4,4,0,0,1,5,1,2,6
275,JAMMU & KASHMIR,IMMORAL TRAFFIC (P) ACT,7,3,2,11,3,5,1,4,6,4,1,3
276,JHARKHAND,IMMORAL TRAFFIC (P) ACT,3,3,6,3,13,11,14,8,1,13,15,12
277,KARNATAKA,IMMORAL TRAFFIC (P) ACT,1356,1388,1361,1170,1241,786,612,516,329,242,351,335
278,KERALA,IMMORAL TRAFFIC (P) ACT,132,132,159,168,225,189,201,187,314,309,197,210
279,MADHYA PRADESH,IMMORAL TRAFFIC (P) ACT,15,14,33,23,19,12,19,10,19,19,24,13
280,MAHARASHTRA,IMMORAL TRAFFIC (P) ACT,233,182,179,309,222,378,322,327,271,306,390,366
281,MANIPUR,IMMORAL TRAFFIC (P) ACT,4,6,0,0,1,0,0,0,0,0,0,15
282,MEGHALAYA,IMMORAL TRAFFIC (P) ACT,0,0,1,0,1,1,1,3,1,3,2,7
283,MIZORAM,IMMORAL TRAFFIC (P) ACT,2,0,0,5,1,0,0,1,1,0,8,0
284,NAGALAND,IMMORAL TRAFFIC (P) ACT,1,4,1,4,4,9,4,1,3,2,2,4
285,ODISHA,IMMORAL TRAFFIC (P) ACT,24,24,11,22,29,44,40,29,14,25,23,24
286,PUNJAB,IMMORAL TRAFFIC (P) ACT,32,38,54,32,58,67,45,43,59,59,50,86
287,RAJASTHAN,IMMORAL TRAFFIC (P) ACT,68,55,51,79,115,143,91,72,62,82,81,99
288,SIKKIM,IMMORAL TRAFFIC (P) ACT,0,0,1,1,0,0,2,0,1,3,1,0
289,TAMIL NADU,IMMORAL TRAFFIC (P) ACT,5232,3530,2839,3022,2777,1732,1199,687,716,567,420,500
290,TRIPURA,IMMORAL TRAFFIC (P) ACT,0,0,0,0,0,0,0,0,0,1,2,0
291,UTTAR PRADESH,IMMORAL TRAFFIC (P) ACT,26,42,47,44,31,70,49,57,39,23,43,31
292,UTTARAKHAND,IMMORAL TRAFFIC (P) ACT,0,0,0,4,2,3,9,3,6,4,3,12
293,WEST BENGAL,IMMORAL TRAFFIC (P) ACT,31,42,152,121,74,66,62,62,63,56,96,109
295,A & N ISLANDS,IMMORAL TRAFFIC (P) ACT,0,0,0,0,0,0,1,0,1,3,3,2
296,CHANDIGARH,IMMORAL TRAFFIC (P) ACT,3,3,4,9,9,3,5,7,4,3,1,0
297,D & N HAVELI,IMMORAL TRAFFIC (P) ACT,0,0,2,0,0,0,2,3,0,1,1,2
298,DAMAN & DIU,IMMORAL TRAFFIC (P) ACT,3,3,0,1,1,1,5,6,4,6,6,3
299,DELHI,IMMORAL TRAFFIC (P) ACT,95,69,46,123,151,112,63,60,27,28,33,24
300,LAKSHADWEEP,IMMORAL TRAFFIC (P) ACT,0,0,0,0,0,0,0,0,0,0,0,0
301,PUDUCHERRY,IMMORAL TRAFFIC (P) ACT,39,27,13,4,5,8,5,3,9,11,3,4
