,STATE/UT,CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
228,ANDHRA PRADESH,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,7,0,5,2,3,0,0,0,0,0,0,0
229,ARUNACHAL PRADESH,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,0,0,0,0,0,0,0,0,0,0,0,0
230,ASSAM,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,0,0,0,0,3,0,0,0,1,0,2,2
231,BIHAR,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,83,38,37,35,74,42,56,22,31,8,10,4
232,CHHATTISGARH,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,0,0,0,0,0,1,0,0,0,2,2,0
233,GOA,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,0,0,0,0,0,0,0,0,0,0,0,0
234,GUJARAT,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,0,0,0,0,0,0,0,0,0,0,0,0
235,HARYANA,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,0,0,0,0,0,0,0,0,0,0,0,0
236,HIMACHAL PRADESH,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,0,0,0,0,0,0,0,0,0,0,0,0
237,JAMMU & KASHMIR,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,0,0,0,0,0,0,0,0,0,0,0,0
238,JHARKHAND,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2,36,0,36,4,5,0,39,6,8,6,3
239,KARNATAKA,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,0,0,0,0,0,0,0,1,2,0,12,32
240,KERALA,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,0,0,0,0,0,0,0,0,0,0,0,0
241,MADHYA PRADESH,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,0,0,0,0,3,0,0,0,1,5,45,6
242,MAHARASHTRA,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,1,0,0,0,0,1,0,0,0,0,0,0
243,MANIPUR,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,0,0,0,0,0,0,0,0,0,0,0,0
244,MEGHALAYA,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,0,0,0,0,0,0,0,0,1,0,3,0
245,MIZORAM,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,3,0,0,0,0,0,0,0,0,0,0,0
246,NAGALAND,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,0,0,1,0,0,0,0,0,0,0,0,0
247,ODISHA,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,0,0,0,0,0,12,0,0,1,5,0,0
248,PUNJAB,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,0,0,0,0,0,2,0,0,0,0,0,0
249,RAJASTHAN,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,1,0,1,1,0,3,0,0,0,0,0,0
250,SIKKIM,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,0,0,0,0,0,0,0,0,0,0,0,0
251,TAMIL NADU,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,14,0,1,0,0,0,0,0,0,0,0,0
252,TRIPURA,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,0,0,0,0,0,0,0,0,0,0,0,0
253,UTTAR PRADESH,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,0,0,0,3,0,0,0,0,0,0,0,0
254,UTTARAKHAND,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,0,1,0,0,0,0,0,0,0,0,0,0
255,WEST BENGAL,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,3,1,1,12,61,1,5,5,5,8,0,12
257,A & N ISLANDS,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,0,0,0,0,0,0,0,0,0,0,0,0
258,CHANDIGARH,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,0,0,0,0,0,0,0,0,0,0,0,0
259,D & N HAVELI,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,0,0,0,0,0,0,0,0,0,0,0,0
260,DAMAN & DIU,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,0,0,0,0,0,0,0,0,0,0,0,0
261,DELHI,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,0,0,0,0,1,0,0,0,0,0,0,0
262,LAKSHADWEEP,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,0,0,0,0,0,0,0,0,0,0,0,0
263,PUDUCHERRY,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,0,0,0,0,0,0,0,0,0,0,0,0
