,STATE/UT,CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
342,ANDHRA PRADESH,INDECENT REPRESENTATION OF WOMEN (P) ACT,925,2403,909,1102,2657,1347,1005,889,704,753,314,21
343,ARUNACHAL PRADESH,INDECENT REPRESENTATION OF WOMEN (P) ACT,0,0,0,0,0,0,0,0,0,0,0,0
344,ASSAM,INDECENT REPRESENTATION OF WOMEN (P) ACT,10,3,0,0,0,0,0,2,0,0,1,3
345,BIHAR,INDECENT REPRESENTATION OF WOMEN (P) ACT,3,1,1,0,0,0,0,0,0,0,0,5
346,CHHATTISGARH,INDECENT REPRESENTATION OF WOMEN (P) ACT,0,0,0,0,0,0,0,0,1,1,0,1
347,GOA,INDECENT REPRESENTATION OF WOMEN (P) ACT,0,0,0,0,0,0,0,0,1,0,3,0
348,GUJARAT,INDECENT REPRESENTATION OF WOMEN (P) ACT,0,4,14,0,0,0,0,0,0,0,0,0
349,HARYANA,INDECENT REPRESENTATION OF WOMEN (P) ACT,0,0,0,0,0,0,0,0,0,0,0,2
350,HIMACHAL PRADESH,INDECENT REPRESENTATION OF WOMEN (P) ACT,0,0,0,2,0,0,0,0,0,0,0,0
351,JAMMU & KASHMIR,INDECENT REPRESENTATION OF WOMEN (P) ACT,0,0,0,0,0,0,0,0,2,0,0,0
352,JHARKHAND,INDECENT REPRESENTATION OF WOMEN (P) ACT,0,0,0,0,2,2,0,0,0,6,0,0
353,KARNATAKA,INDECENT REPRESENTATION OF WOMEN (P) ACT,0,0,0,0,0,0,0,0,1,0,2,0
354,KERALA,INDECENT REPRESENTATION OF WOMEN (P) ACT,42,26,16,45,108,59,26,19,24,37,12,3
355,MADHYA PRADESH,INDECENT REPRESENTATION OF WOMEN (P) ACT,0,0,0,0,0,2,0,0,1,0,0,0
356,MAHARASHTRA,INDECENT REPRESENTATION OF WOMEN (P) ACT,9,4,8,11,8,9,2,1,1,0,1,2
357,MANIPUR,INDECENT REPRESENTATION OF WOMEN (P) ACT,0,0,0,0,0,0,0,0,0,0,0,0
358,MEGHALAYA,INDECENT REPRESENTATION OF WOMEN (P) ACT,0,0,0,0,0,0,0,0,0,0,0,0
359,MIZORAM,INDECENT REPRESENTATION OF WOMEN (P) ACT,0,0,0,0,0,0,0,0,0,0,0,0
360,NAGALAND,INDECENT REPRESENTATION OF WOMEN (P) ACT,0,0,0,0,0,0,0,0,0,0,0,0
361,ODISHA,INDECENT REPRESENTATION OF WOMEN (P) ACT,0,0,0,0,1,0,0,0,0,0,1,1
362,PUNJAB,INDECENT REPRESENTATION OF WOMEN (P) ACT,1,8,1,2,0,1,0,0,0,0,0,0
363,RAJASTHAN,INDECENT REPRESENTATION OF WOMEN (P) ACT,46,54,87,89,109,102,131,107,106,80,102,62
364,SIKKIM,INDECENT REPRESENTATION OF WOMEN (P) ACT,0,0,0,0,0,0,0,0,0,0,0,0
365,TAMIL NADU,INDECENT REPRESENTATION OF WOMEN (P) ACT,11,5,6,102,30,35,25,4,2,14,10,34
366,TRIPURA,INDECENT REPRESENTATION OF WOMEN (P) ACT,0,0,0,0,0,0,0,0,0,0,0,0
367,UTTAR PRADESH,INDECENT REPRESENTATION OF WOMEN (P) ACT,3,0,0,0,0,0,0,0,0,1,4,0
368,UTTARAKHAND,INDECENT REPRESENTATION OF WOMEN (P) ACT,0,0,0,0,0,0,0,0,0,0,0,0
369,WEST BENGAL,INDECENT REPRESENTATION OF WOMEN (P) ACT,0,0,1,25,1,4,10,3,2,2,2,7
371,A & N ISLANDS,INDECENT REPRESENTATION OF WOMEN (P) ACT,0,0,0,0,0,0,0,0,0,0,0,0
372,CHANDIGARH,INDECENT REPRESENTATION OF WOMEN (P) ACT,1,0,0,0,0,0,1,0,0,0,0,0
373,D & N HAVELI,INDECENT REPRESENTATION OF WOMEN (P) ACT,0,0,0,0,0,0,0,0,0,0,0,0
374,DAMAN & DIU,INDECENT REPRESENTATION OF WOMEN (P) ACT,0,0,0,0,0,0,0,0,0,0,0,0
375,DELHI,INDECENT REPRESENTATION OF WOMEN (P) ACT,1,0,0,0,1,1,0,0,0,0,1,0
376,LAKSHADWEEP,INDECENT REPRESENTATION OF WOMEN (P) ACT,0,0,0,0,0,0,0,0,0,1,0,0
377,PUDUCHERRY,INDECENT REPRESENTATION OF WOMEN (P) ACT,0,0,0,0,0,0,0,0,0,0,0,0
