,STATE/UT,CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
152,ANDHRA PRADESH,INSULT TO THE MODESTY OF WOMEN,2271,2024,2286,2310,2508,2411,3316,3551,3520,4562,3658,3714
153,ARUNACHAL PRADESH,INSULT TO THE MODESTY OF WOMEN,3,2,0,0,0,2,1,1,6,1,0,2
154,ASSAM,INSULT TO THE MODESTY OF WOMEN,4,7,6,11,19,10,10,2,10,20,8,5
155,BIHAR,INSULT TO THE MODESTY OF WOMEN,21,6,11,13,13,53,12,21,12,16,11,37
156,CHHATTISGARH,INSULT TO THE MODESTY OF WOMEN,161,147,105,131,132,143,111,125,152,182,174,162
157,GOA,INSULT TO THE MODESTY OF WOMEN,7,6,7,15,8,7,7,12,10,16,12,16
158,GUJARAT,INSULT TO THE MODESTY OF WOMEN,111,104,92,164,104,138,120,122,114,110,93,93
159,HARYANA,INSULT TO THE MODESTY OF WOMEN,401,1424,1302,850,597,491,409,605,605,580,490,434
160,HIMACHAL PRADESH,INSULT TO THE MODESTY OF WOMEN,14,12,18,16,29,31,33,41,37,78,62,68
161,JAMMU & KASHMIR,INSULT TO THE MODESTY OF WOMEN,288,368,376,264,371,347,353,296,371,262,350,347
162,JHARKHAND,INSULT TO THE MODESTY OF WOMEN,5,3,2,3,36,44,15,23,83,16,7,10
163,KARNATAKA,INSULT TO THE MODESTY OF WOMEN,81,100,84,57,71,38,28,44,64,83,81,100
164,KERALA,INSULT TO THE MODESTY OF WOMEN,81,102,68,133,175,222,262,258,395,537,573,498
165,MADHYA PRADESH,INSULT TO THE MODESTY OF WOMEN,751,783,705,804,792,762,780,758,728,918,762,774
166,MAHARASHTRA,INSULT TO THE MODESTY OF WOMEN,1120,769,682,862,919,984,1039,1091,1099,1180,1071,1294
167,MANIPUR,INSULT TO THE MODESTY OF WOMEN,0,0,0,0,0,0,0,0,2,0,0,1
168,MEGHALAYA,INSULT TO THE MODESTY OF WOMEN,0,0,1,0,0,0,1,4,1,0,1,0
169,MIZORAM,INSULT TO THE MODESTY OF WOMEN,0,0,0,0,4,0,0,0,1,0,1,0
170,NAGALAND,INSULT TO THE MODESTY OF WOMEN,0,0,2,1,0,2,1,1,0,3,0,0
171,ODISHA,INSULT TO THE MODESTY OF WOMEN,458,188,188,170,184,247,241,282,210,232,235,304
172,PUNJAB,INSULT TO THE MODESTY OF WOMEN,47,145,199,38,43,60,48,49,33,38,31,31
173,RAJASTHAN,INSULT TO THE MODESTY OF WOMEN,56,44,33,41,28,31,28,19,24,23,9,18
174,SIKKIM,INSULT TO THE MODESTY OF WOMEN,14,0,0,0,0,0,0,0,0,0,0,0
175,TAMIL NADU,INSULT TO THE MODESTY OF WOMEN,1012,1718,881,1081,665,852,875,974,501,638,464,382
176,TRIPURA,INSULT TO THE MODESTY OF WOMEN,0,0,0,0,1,0,4,4,5,9,9,7
177,UTTAR PRADESH,INSULT TO THE MODESTY OF WOMEN,2575,1887,4970,2682,2881,2714,2882,3374,2524,11,3,8
178,UTTARAKHAND,INSULT TO THE MODESTY OF WOMEN,84,97,98,110,89,113,63,306,249,165,72,73
179,WEST BENGAL,INSULT TO THE MODESTY OF WOMEN,48,34,71,64,54,63,99,94,108,163,200,556
181,A & N ISLANDS,INSULT TO THE MODESTY OF WOMEN,1,3,2,3,1,4,2,3,7,10,3,4
182,CHANDIGARH,INSULT TO THE MODESTY OF WOMEN,15,28,4,18,9,13,11,2,2,4,12,25
183,D & N HAVELI,INSULT TO THE MODESTY OF WOMEN,0,0,0,0,0,1,0,0,1,2,0,0
184,DAMAN & DIU,INSULT TO THE MODESTY OF WOMEN,0,0,0,0,0,0,0,1,1,0,0,0
185,DELHI,INSULT TO THE MODESTY OF WOMEN,90,128,105,130,225,144,167,130,118,80,162,208
186,LAKSHADWEEP,INSULT TO THE MODESTY OF WOMEN,0,0,0,0,0,0,0,0,0,0,0,0
187,PUDUCHERRY,INSULT TO THE MODESTY OF WOMEN,27,26,27,30,26,39,32,21,16,22,16,2
