,STATE/UT,CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
38,ANDHRA PRADESH,KIDNAPPING and ABDUCTION,765,854,931,1030,995,1329,1564,1396,1526,1531,1612,1403
39,ARUNACHAL PRADESH,KIDNAPPING and ABDUCTION,55,38,51,41,39,51,44,47,28,46,60,58
40,ASSAM,KIDNAPPING and ABDUCTION,1070,1276,1351,1552,1456,1544,1471,1789,2092,2767,3192,3360
41,BIHAR,KIDNAPPING and ABDUCTION,518,744,674,997,929,1084,1260,1789,1986,2569,3050,3789
42,CHHATTISGARH,KIDNAPPING and ABDUCTION,171,154,149,174,184,178,181,216,229,279,365,350
43,GOA,KIDNAPPING and ABDUCTION,6,5,13,10,12,10,7,28,22,18,17,16
44,GUJARAT,KIDNAPPING and ABDUCTION,857,807,859,905,916,945,1089,1119,1162,1290,1442,1527
45,HARYANA,KIDNAPPING and ABDUCTION,297,290,271,292,344,431,554,644,659,714,733,900
46,HIMACHAL PRADESH,KIDNAPPING and ABDUCTION,105,116,96,99,102,109,150,137,122,162,191,152
47,JAMMU & KASHMIR,KIDNAPPING and ABDUCTION,504,596,615,632,658,723,707,656,825,840,1023,1041
48,JHARKHAND,KIDNAPPING and ABDUCTION,279,178,262,178,283,410,534,499,517,696,660,786
49,KARNATAKA,KIDNAPPING and ABDUCTION,271,300,244,286,312,328,390,405,408,586,715,1070
50,KERALA,KIDNAPPING and ABDUCTION,97,91,102,142,129,202,177,166,173,184,221,214
51,MADHYA PRADESH,KIDNAPPING and ABDUCTION,668,639,608,584,604,617,701,736,841,1030,1088,1127
52,MAHARASHTRA,KIDNAPPING and ABDUCTION,611,650,626,787,851,921,967,998,926,1124,1252,1140
53,MANIPUR,KIDNAPPING and ABDUCTION,62,82,71,71,69,79,83,87,97,107,116,133
54,MEGHALAYA,KIDNAPPING and ABDUCTION,11,10,10,18,19,25,22,25,26,37,37,24
55,MIZORAM,KIDNAPPING and ABDUCTION,1,2,2,0,0,1,0,1,0,0,0,3
56,NAGALAND,KIDNAPPING and ABDUCTION,6,4,3,4,9,3,6,7,10,6,3,10
57,ODISHA,KIDNAPPING and ABDUCTION,434,432,373,423,547,577,660,762,799,912,1008,1364
58,PUNJAB,KIDNAPPING and ABDUCTION,324,354,295,311,329,418,545,514,513,576,517,689
59,RAJASTHAN,KIDNAPPING and ABDUCTION,2165,2019,1750,1881,1549,1553,1694,1863,2310,2477,2713,2697
60,SIKKIM,KIDNAPPING and ABDUCTION,2,2,0,4,2,7,9,4,6,6,10,10
61,TAMIL NADU,KIDNAPPING and ABDUCTION,607,714,632,692,783,718,1097,1160,1133,1464,1743,1693
62,TRIPURA,KIDNAPPING and ABDUCTION,35,48,29,54,43,62,81,110,92,91,116,114
63,UTTAR PRADESH,KIDNAPPING and ABDUCTION,2879,2298,1499,2324,2256,2551,3363,4439,5078,5468,7525,7910
64,UTTARAKHAND,KIDNAPPING and ABDUCTION,126,155,134,127,125,183,227,222,247,249,283,256
65,WEST BENGAL,KIDNAPPING and ABDUCTION,695,694,801,1018,1039,1199,1590,1907,2187,2764,3711,4168
67,A & N ISLANDS,KIDNAPPING and ABDUCTION,2,1,2,3,1,5,9,13,14,8,12,7
68,CHANDIGARH,KIDNAPPING and ABDUCTION,50,47,28,43,45,57,46,42,36,28,46,66
69,D & N HAVELI,KIDNAPPING and ABDUCTION,2,5,4,7,9,14,6,11,9,10,8,9
70,DAMAN & DIU,KIDNAPPING and ABDUCTION,3,2,1,0,2,1,1,1,0,2,2,0
71,DELHI,KIDNAPPING and ABDUCTION,964,893,797,881,1106,1066,1167,1136,1655,1740,2085,2160
72,LAKSHADWEEP,KIDNAPPING and ABDUCTION,0,0,0,0,0,0,0,1,0,0,0,0
73,PUDUCHERRY,KIDNAPPING and ABDUCTION,3,6,13,8,3,13,14,9,13,14,9,16
