,STATE/UT,CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0,ANDHRA PRADESH,RAPE,871,1002,946,1016,935,1049,1070,1257,1188,1362,1442,1341
1,ARUNACHAL PRADESH,RAPE,33,38,31,42,35,37,48,42,59,47,42,46
2,ASSAM,RAPE,817,970,1095,1171,1238,1244,1437,1438,1631,1721,1700,1716
3,BIHAR,RAPE,888,1040,985,1390,1147,1232,1555,1302,929,795,934,927
4,CHHATTISGARH,RAPE,959,992,898,969,990,995,982,978,976,1012,1053,1034
5,GOA,RAPE,12,12,31,37,20,21,20,30,47,36,29,55
6,GUJARAT,RAPE,286,267,236,339,324,354,316,374,433,408,439,473
7,HARYANA,RAPE,398,361,353,386,461,608,488,631,603,720,733,668
8,HIMACHAL PRADESH,RAPE,124,137,126,153,141,113,159,157,183,160,168,183
9,JAMMU & KASHMIR,RAPE,169,192,211,218,201,250,288,219,237,245,277,303
10,JHARKHAND,RAPE,567,797,712,797,753,799,855,791,719,773,784,812
11,KARNATAKA,RAPE,293,292,321,291,343,400,436,446,509,586,636,621
12,KERALA,RAPE,562,499,394,480,478,601,512,568,568,634,1132,1019
13,MADHYA PRADESH,RAPE,2851,2891,2738,2875,2921,2900,3010,2937,2998,3135,3406,3425
14,MAHARASHTRA,RAPE,1302,1352,1268,1388,1545,1500,1451,1558,1483,1599,1701,1839
15,MANIPUR,RAPE,20,14,18,31,25,40,20,38,31,34,53,63
16,MEGHALAYA,RAPE,26,38,40,54,63,74,82,88,112,149,130,164
17,MIZORAM,RAPE,52,76,54,20,37,72,83,77,83,92,77,103
18,NAGALAND,RAPE,17,17,14,18,17,23,13,19,22,16,23,21
19,ODISHA,RAPE,790,691,725,770,799,985,939,1113,1023,1025,1112,1458
20,PUNJAB,RAPE,298,299,380,390,398,442,519,517,511,546,479,680
21,RAJASTHAN,RAPE,1049,1051,1050,1038,993,1085,1238,1355,1519,1571,1800,2049
22,SIKKIM,RAPE,8,6,10,3,18,20,24,20,18,18,16,34
23,TAMIL NADU,RAPE,423,534,557,618,571,457,523,573,596,686,677,737
24,TRIPURA,RAPE,102,108,114,160,162,189,157,204,190,238,205,229
25,UTTAR PRADESH,RAPE,1958,1415,911,1397,1217,1314,1648,1871,1759,1563,2042,1963
26,UTTARAKHAND,RAPE,74,89,107,115,133,147,117,87,111,121,129,148
27,WEST BENGAL,RAPE,709,759,1002,1475,1686,1731,2106,2263,2336,2311,2363,2046
29,A & N ISLANDS,RAPE,3,2,2,10,4,6,3,12,18,24,13,12
30,CHANDIGARH,RAPE,18,18,18,19,33,19,22,20,29,31,27,27
31,D & N HAVELI,RAPE,6,4,1,7,5,6,7,6,4,3,4,3
32,DAMAN & DIU,RAPE,0,0,5,1,2,3,1,0,1,1,1,5
33,DELHI,RAPE,381,403,490,551,658,623,598,466,469,507,572,706
34,LAKSHADWEEP,RAPE,0,1,2,0,0,0,1,2,1,0,0,0
35,PUDUCHERRY,RAPE,9,6,2,4,6,9,9,8,1,3,7,13
